32367776.extern|extern|COMPLETED|288|00:04:48|256K|2
32367780|bsk-baseline-mc|COMPLETED|288|00:04:48||2
32367780.batch|batch|COMPLETED|288|00:04:48|1871464K|2
32367780.extern|extern|COMPLETED|288|00:04:48|256K|2
32367781|bsk-baseline-mc|COMPLETED|251|00:04:11||2
32367781.batch|batch|COMPLETED|251|00:04:11|1875736K|2
32367781.extern|extern|COMPLETED|251|00:04:11|0|2
32367786|bsk-baseline-mc|COMPLETED|224|00:03:44||2
32367786.batch|batch|COMPLETED|224|00:03:44|1876892K|2
32367786.extern|extern|COMPLETED|224|00:03:44|0|2
32367787|bsk-baseline-mc|COMPLETED|320|00:05:20||2
32367787.batch|batch|COMPLETED|320|00:05:20|1866580K|2
32367787.extern|extern|COMPLETED|320|00:05:20|256K|2
32367788|bsk-baseline-mc|COMPLETED|269|00:04:29||2
32367788.batch|batch|COMPLETED|269|00:04:29|2182684K|2
32367788.extern|extern|COMPLETED|269|00:04:29|256K|2
32367791|bsk-baseline-mc|COMPLETED|284|00:04:44||2
32367791.batch|batch|COMPLETED|284|00:04:44|1868668K|2
32367791.extern|extern|COMPLETED|284|00:04:44|256K|2
32367810|bsk-baseline-mc|COMPLETED|229|00:03:49||2
32367810.batch|batch|COMPLETED|229|00:03:49|1871812K|2
32367810.extern|extern|COMPLETED|229|00:03:49|0|2
32367811|bsk-baseline-mc|COMPLETED|311|00:05:11||2
32367811.batch|batch|COMPLETED|311|00:05:11|1869832K|2
32367811.extern|extern|COMPLETED|311|00:05:11|256K|2
32367812|bsk-baseline-mc|COMPLETED|370|00:06:10||2
32367812.batch|batch|COMPLETED|370|00:06:10|1793532K|2
32367812.extern|extern|COMPLETED|370|00:06:10|256K|2
32367813|bsk-baseline-mc|COMPLETED|296|00:04:56||2
32367813.batch|batch|COMPLETED|296|00:04:56|1872148K|2
32367813.extern|extern|COMPLETED|296|00:04:56|256K|2
32367819|bsk-baseline-mc|COMPLETED|289|00:04:49||2
32367819.batch|batch|COMPLETED|289|00:04:49|1865344K|2
32367819.extern|extern|COMPLETED|289|00:04:49|256K|2
32367832|bsk-baseline-mc|COMPLETED|270|00:04:30||2
32367832.batch|batch|COMPLETED|270|00:04:30|1869296K|2
32367832.extern|extern|COMPLETED|270|00:04:30|284K|2
32367846|bsk-baseline-mc|COMPLETED|283|00:04:43||2
32367846.batch|batch|COMPLETED|283|00:04:43|1861064K|2
32367846.extern|extern|COMPLETED|283|00:04:43|256K|2
32367847|bsk-baseline-mc|COMPLETED|286|00:04:46||2
32367847.batch|batch|COMPLETED|286|00:04:46|1869644K|2
32367847.extern|extern|COMPLETED|286|00:04:46|256K|2
32367884|bsk-baseline-mc|COMPLETED|207|00:03:27||2
32367884.batch|batch|COMPLETED|207|00:03:27|1865128K|2
32367884.extern|extern|COMPLETED|207|00:03:27|0|2
32367932|bsk-baseline-mc|COMPLETED|287|00:04:47||2
