JobID|JobName|Partition|State|Elapsed|Start|End|AllocCPUS|ReqMem
18797922_0.batch|batch||CANCELLED|2-00:00:05|2025-10-23T09:31:36|2025-10-25T09:31:41|32|
18797922_0.extern|extern||COMPLETED|2-00:00:06|2025-10-23T09:31:36|2025-10-25T09:31:42|32|
18797924_0|shell2190.sh|amilan|TIMEOUT|2-00:00:29|2025-10-23T13:47:08|2025-10-25T13:47:37|32|100G
18797924_0.batch|batch||CANCELLED|2-00:00:31|2025-10-23T13:47:08|2025-10-25T13:47:39|32|
18797924_0.extern|extern||COMPLETED|2-00:00:31|2025-10-23T13:47:08|2025-10-25T13:47:39|32|
18797932_0|shell2180.sh|amilan|TIMEOUT|2-00:00:04|2025-10-23T14:27:05|2025-10-25T14:27:09|32|100G
18797932_0.batch|batch||CANCELLED|2-00:00:12|2025-10-23T14:27:05|2025-10-25T14:27:17|32|
18797932_0.extern|extern||COMPLETED|2-00:00:12|2025-10-23T14:27:05|2025-10-25T14:27:17|32|
18797933_0|shell2170.sh|amilan|TIMEOUT|2-00:00:19|2025-10-23T14:37:50|2025-10-25T14:38:09|32|100G
18797933_0.batch|batch||CANCELLED|2-00:00:20|2025-10-23T14:37:50|2025-10-25T14:38:10|32|
18797933_0.extern|extern||COMPLETED|2-00:00:20|2025-10-23T14:37:50|2025-10-25T14:38:10|32|
18797941_0|shell1500.sh|amilan|TIMEOUT|2-00:00:19|2025-10-23T14:37:50|2025-10-25T14:38:09|32|100G
18797941_0.batch|batch||CANCELLED|2-00:00:20|2025-10-23T14:37:50|2025-10-25T14:38:10|32|
18797941_0.extern|extern||COMPLETED|2-00:00:20|2025-10-23T14:37:50|2025-10-25T14:38:10|32|
18798044_0|shell1100.sh|amilan|TIMEOUT|2-00:00:29|2025-10-23T17:29:46|2025-10-25T17:30:15|32|100G
18798044_0.batch|batch||CANCELLED|2-00:00:30|2025-10-23T17:29:46|2025-10-25T17:30:16|32|
18798044_0.extern|extern||COMPLETED|2-00:00:30|2025-10-23T17:29:46|2025-10-25T17:30:16|32|
18798047_0|shell1000.sh|amilan|TIMEOUT|2-00:00:20|2025-10-23T19:28:31|2025-10-25T19:28:51|32|100G
18798047_0.batch|batch||CANCELLED|2-00:00:21|2025-10-23T19:28:31|2025-10-25T19:28:52|32|
18798047_0.extern|extern||COMPLETED|2-00:00:21|2025-10-23T19:28:31|2025-10-25T19:28:52|32|
19942035|acompile|acompile|TIMEOUT|01:00:08|2025-11-17T15:47:19|2025-11-17T16:47:27|4|13920M
